id,title,url,category,date,author
2,"intitle:""Ganglia"" ""Cluster Report for""",https://www.exploit-db.com/ghdb/2,Files Containing Juicy Info,2003-06-24,anonymous
18,intitle:index.of people.lst,https://www.exploit-db.com/ghdb/18,Files Containing Passwords,2003-06-24,anonymous
33,index.of.secret,https://www.exploit-db.com/ghdb/33,Sensitive Directories,2003-06-27,anonymous
34,index.of.private,https://www.exploit-db.com/ghdb/34,Sensitive Directories,2003-06-27,anonymous
37,index.of.secure,https://www.exploit-db.com/ghdb/37,Sensitive Directories,2003-06-27,anonymous
38,index.of.protected,https://www.exploit-db.com/ghdb/38,Sensitive Directories,2003-06-27,anonymous
57,"""ORA-00921: unexpected end of SQL command""",https://www.exploit-db.com/ghdb/57,Error Messages,2004-01-09,anonymous
58,inurl:passlist.txt,https://www.exploit-db.com/ghdb/58,Files Containing Passwords,2004-01-23,anonymous
66,"intitle:""the page cannot be found"" inetmgr",https://www.exploit-db.com/ghdb/66,Error Messages,2004-03-04,anonymous
67,"intitle:""the page cannot be found"" ""2004 microsoft corporation""",https://www.exploit-db.com/ghdb/67,Error Messages,2004-03-04,anonymous
126,"""Fatal error: Call to undefined function"" -reply -the -next",https://www.exploit-db.com/ghdb/126,Error Messages,2004-03-16,anonymous
143,"intitle:""index.of.personal""",https://www.exploit-db.com/ghdb/143,Sensitive Directories,2004-03-29,anonymous
169,allinurl:/examples/jsp/snp/snoop.jsp,https://www.exploit-db.com/ghdb/169,Files Containing Juicy Info,2004-04-20,anonymous
182,"intitle:""MikroTik RouterOS Managing Webpage""",https://www.exploit-db.com/ghdb/182,Pages Containing Login Portals,2004-04-26,anonymous
197,"+intext:""webalizer"" +intext:""Total Usernames"" +intext:""Usage Statistics for""",https://www.exploit-db.com/ghdb/197,Files Containing Usernames,2004-05-03,anonymous
199,"intitle:""index of"" intext:globals.inc",https://www.exploit-db.com/ghdb/199,Files Containing Passwords,2004-05-03,anonymous
202,"intitle:""Samba Web Administration Tool"" intext:""Help Workgroup""",https://www.exploit-db.com/ghdb/202,Vulnerable Servers,2004-05-04,anonymous
210,"filetype:reg reg +intext:""defaultusername"" +intext:""defaultpassword""",https://www.exploit-db.com/ghdb/210,Files Containing Passwords,2004-05-07,anonymous
211,"inurl:metaframexp/default/login.asp | intitle:""Metaframe XP Login""",https://www.exploit-db.com/ghdb/211,Pages Containing Login Portals,2004-05-10,anonymous
219,"inurl:""webadmin"" filetype:nsf",https://www.exploit-db.com/ghdb/219,Pages Containing Login Portals,2004-05-11,anonymous
224,"filetype:url +inurl:""ftp://"" +inurl:""@""",https://www.exploit-db.com/ghdb/224,Files Containing Passwords,2004-05-12,anonymous
227,"intitle:""index of"" mysql.conf OR mysql_config",https://www.exploit-db.com/ghdb/227,Files Containing Juicy Info,2004-05-13,anonymous
232,"intitle:""Dell Remote Access Controller""",https://www.exploit-db.com/ghdb/232,Pages Containing Login Portals,2004-05-17,anonymous
243,filetype:pem intext:private,https://www.exploit-db.com/ghdb/243,Files Containing Passwords,2004-05-17,anonymous
248,"intitle:""Big Sister"" +""OK Attention Trouble""",https://www.exploit-db.com/ghdb/248,Files Containing Juicy Info,2004-05-24,anonymous
249,"inurl:""/cricket/grapher.cgi""",https://www.exploit-db.com/ghdb/249,Files Containing Juicy Info,2004-05-24,anonymous
